"日付","コロナ(covid19)","インフル(flu)","コロナ＋インフル 1週間ごと合計値（仙台市）"
2024/01/10,146,415,561
2024/01/17,269,446,715
2024/01/24,468,664,1132
2024/01/31,666,940,1606
2024/02/07,714,1120,1834
2024/02/14,683,1333,2016
2024/02/21,502,1099,1601
2024/02/28,374,887,1261
2024/03/06,455,694,1149
2024/03/13,463,775,1238
2024/03/21,463,785,1248
2024/03/27,296,684,980
2024/04/03,320,600,920
2024/04/10,295,276,571
2024/04/17,236,179,415
2024/04/24,236,111,347
2024/05/01,150,42,192
2024/05/08,69,16,85
2024/05/15,87,12,99
2024/05/22,119,10,129
2024/05/29,94,15,109
2024/06/05,126,9,135
2024/06/12,110,15,125
2024/06/19,96,10,106
2024/06/26,134,5,139
2024/07/03,130,0,130
2024/07/10,189,10,199
2024/07/17,284,7,291
2024/07/17,284,7,291
2024/07/24,347,10,357
2024/07/31,404,12,416
2024/08/07,435,15,450
2024/08/14,401,7,408
2024/08/21,97,2,99,week=33
2024/08/28,389,14,403,week=34
2024/09/04,368,65,433,week=35
2024/09/11,331,26,357,week=36
2024/09/18,320,14,334,week=37
2024/09/25,207,11,218,week=38
2024/10/02,179,20,199,week=39
2024/10/09,119,16,135,week=40
2024/10/16,107,13,120,week=41
2024/10/23,50,15,65,week=42
2024/10/30,68,25,93,week=43
2024/11/06,53,22,75,week=44
2024/11/13,52,51,103,week=45
2024/11/20,70,111,181,week=46
2024/11/27,59,127,186,week=47
2024/12/04,101,187,288,week=48
2024/12/11,89,275,364,week=49
2024/12/18,169,692,861,week=50
2024/12/25,220,1382,1602,week=51
2025/01/01,273,2008,2281,week=52
2025/01/09,49,552,601,week=1
2025/01/15,296,1450,1746,week=2
2025/01/22,217,842,1059,week=3
2025/01/29,250,572,822,week=4
2025/02/05,238,385,623,week=5
2025/02/12,188,256,444,week=6
2025/02/19,204,211,415,week=7
2025/02/26,174,120,294,week=8
2025/03/05,139,71,210,week=9
2025/03/12,169,62,231,week=10
2025/03/19,145,43,188,week=11
2025/03/26,132,72,204,week=12
2025/04/02,137,86,223,week=13
2025/04/09,80,70,150,week=14
2025/04/16,43,45,88,week=15
2025/04/23,41,43,84,week=16
2025/04/30,23,33,56,week=17
2025/05/08,22,20,42,week=18
2025/05/14,19,11,30,week=19
2025/05/21,28,5,33,week=20
2025/05/28,30,3,33,week=21
2025/06/04,28,6,34,week=22
2025/06/11,14,4,18,week=23
2025/06/18,12,6,18,week=24
2025/06/25,21,6,27,week=25
2025/07/02,28,5,33,week=26
2025/07/09,34,23,57,week=27
2025/07/16,62,12,74,week=28
2025/07/23,71,15,86,week=29
2025/07/30,71,36,107,week=30
2025/08/06,88,60,148,week=31
2025/08/13,100,17,117,week=32
2025/08/20,58,3,61,week=33
2025/08/27,194,8,202,week=34
2025/09/03,222,4,226,week=35
2025/09/10,289,3,292,week=36
2025/09/17,269,1,270,week=37
2025/09/24,182,,182,week=38
2025/10/01,158,17,175,week=39
2025/10/08,127,44,171,week=40
2025/10/15,76,69,145,week=41
2025/10/22,67,103,170,week=42
2025/10/29,65,198,263,week=43
2025/11/05,56,676,732,week=44
2025/11/12,38,1115,1153,week=45
2025/11/19,42,1990,2032,week=46
2025/11/26,37,2105,2142,week=47
2025/12/03,24,1074,1098,week=48
2025/12/10,23,653,676,week=49
2025/12/17,18,433,451,week=50
2025/12/24,31,448,479,week=51
2026/01/07,37,356,393,week=52
2026/01/09,36,112,148,week=1
2026/01/14,53,215,268,week=2
2026/01/21,49,296,345,week=3
2026/01/28,60,539,599,week=4
2026/02/04,99,985,1084,week=5
2026/02/12,108,1316,1424,week=6
2026/02/18,70,1077,1147,week=7
2026/02/25,59,889,948,week=8
2026/03/04,50,593,643,week=9
2026/03/11,47,366,413,week=10
2026/03/18,42,347,389,week=11
2026/03/25,35,207,242,week=12
2026/04/01,27,134,161,week=13
2026/04/08,32,92,124,week=14
2026/04/15,23,58,81,week=15
2026/04/22,31,33,64,week=16
2026/04/30,45,22,67,week=17
2026/05/6,38,5,43,week=18
2026/05/13,11,5,16,week=19
2026/05/20,18,7,25,week=20
2026/05/27,14,0,14,week=21
2026/06/03,6,1,7,week=22
2026/06/10,3,0,3,week=23
2026/06/17,4,1,5,week=24
2026/06/24,10,0,10,week=25
2026/07/01,5,0,5,week=26
2026/07/08,8,1,9,week=27
2026/07/15,6,0,6,week=28
2026/07/22,2,1,3,week=29
2026/07/29,5,0,5,week=30
2026/08/05,11,9,20,week=31
2026/08/19,6,44,50,week=33
2026/08/26,19,43,62,week=34
